Menu Code No.,Thai Name,English Name
00,แกงเขียวหวานไก่,Chicken Green Curry
01,แกงเทโพ,Pork Curry with Morning Glory
02,แกงเลียง,Spicy mixed vegetable soup
03,แกงจืดเต้าหู้หมูสับ,Pork Chopped Tofu Soup
04,แกงจืดมะระยัดไส้,Stuffed Bitter Gourd Broth
05,แกงมัสมั่นไก่,Chicken Mussaman Curry
06,แกงส้มผักรวม,Sour Soup
07,ไก่คั่วเกลือผสมมะม่วงหิมพานต์,Stir Fried Chicken with Chestnuts
08,ไข่เจียว,Omelet
09,ไข่ดาว,Fried egg
10,ไข่พะโล้,Egg and Pork in Sweet Brown Sauce
11,ไข่ลูกเขย,Egg with Tamarind Sauce
12,กล้วยบวชชี,Banana in coconut milk
13,ก๋วยเตี๋ยวคั่วไก่,Stir Fried Rice Noodles with Chicken
14,กะหล่ำปลีผัดน้ำปลา,Fried Cabbage with Fish Sauce
15,กุ้งแม่น้ำเผา,Grilled River Prawn
16,กุ้งอบวุ้นเส้น,Baked Prawns With Vermicelli
17,ขนมครก,Coconut rice pancake
18,ข้าวเหนียวมะม่วง,Mango Sticky Rice
19,ข้าวขาหมู,Thai Pork Leg Stew
20,ข้าวคลุกกะปิ,Shrimp Paste Fried Rice
21,ข้าวซอย,Curried Noodle Soup with Chicken
22,ข้าวผัด,Fried rice
23,ข้าวผัดกุ้ง,Shrimp Fried Rice
24,ข้าวมันไก่,Steamed capon in flavored rice
25,ข้าวหมกไก่,Thai Chicken Biryani
26,ต้มข่าไก่,Thai Chicken Coconut Soup
27,ต้มยำกุ้ง,River prawn spicy soup
28,ทอดมัน,Fried fish-paste balls
29,ปอเปี๊ยะทอด,Deep fried spring roll
30,ผักบุ้งไฟแดง,Stir-Fried Chinese Morning Glory
31,ผัดไท,Fried noodle Thai style
32,ผัดกะเพรา,Stir fried Thai basil with minced pork
33,ผัดซีอิ๊วเส้นใหญ่,Fried Noodle in Soy Sauce
34,ผัดฟักทองใส่ไข่,Stir-fried Pumpkin with Eggs
35,ผัดมะเขือยาวหมูสับ,Stir-Fried Eggplant with Soybean Paste Sauce
36,ผัดหอยลาย,Stir Fried Clams with Roasted Chili Paste
37,ฝอยทอง,Golden Egg Yolk Threads
38,พะแนงไก่,Chicken Panang
39,ยำถั่วพลู,Thai Wing Beans Salad
40,ยำวุ้นเส้น,Spicy Glass Noodle Salad
41,ยำหมูยอ,Spicy minced pork salad
42,สังขยาฟักทอง,Egg custard in pumpkin
43,สาคูไส้หมู,Tapioca Balls with Pork Filling
44,ส้มตำ,Green Papaya Salad
45,หมูปิ้ง,Thai-Style Grilled Pork Skewers
46,หมูสะเต๊ะ,Pork Satay with Peanut Sauce
47,ห่อหมก,Steamed Fish with Curry paste
