บาร์โค้ดสินค้า(เลขใต้บาร์โค้ด),ชื่อสินค้า,พลังงาน(กิโลเเคลอรี่) ,น้ำตาล(กรัม),ไขมัน(กรัม),โซเดียม(มิลลิกรัม),โปรตีน (กรัม),คาร์โบไฮเดรต (กรัม)
8859473100593,Organic Soymilk,100,7,3.5,20,,
8854698018814,น้ำชาเขียวสไตล์ญี่ปุ่น กลิ่นองุ่นเคียวโฮ(200ml),46,11,0,55,,
8858891302411,ชาเขียว ข้าวญี่ปุ่น(280ml),50,8,0,75,,
31146155736,บะหมี่กึ่งสำเร็จรูปพร้อมซองเครื่องปรุงรสซอสถั่วดำ,610,6,20,1100,11,95
8850125009264,เอ็กซ์ตรีมดาร์กช็อกฟัดจ์บราวนี่ ไอศกรีม,240,19,12,90,,
8859580900260,เอ็ม & ดี ขนมเปี๊ยะไส้ไก่หยอง,170,12,7,70,4,23
8850987128301,มาม่า รสต้มยำกุ้ง น้ำข้น,270,3,13,,5,32
8850718801152,มันฝรั่งแผ่นทอดกรอบ,251,0,3,,1,7
8858684519071,ข้าวพะแนงอกไก่และทอดมัน,"1,757",7,13,0,18,58
8851351387195,อีซี่โก ข้าวเหนียวหมูปั้นก้อนทอด,"1,213",1,8,,11,44
8850999001913,สาหร่ายมาชิตะ สไปซี่ – mashita,753,0,16,,4,6
8850250008279,ยำยำ รสสุกี้ทะเล,260,10,10,1680,,
8850123396069,โดรายากิ ไส้ครีมอัลมอนด์ ตราฟาร์มเฮ้าส์,920,16,10,,3,29
8850718821235,ชีโตส รสมะเขือเทศ,430,3,28,310,,
8852008300031,โคอะลา มาร์ช สตรอเบอร์รี,200,17,11,80,,
8853445022579,ชีสเค้กโอริโอ้,795,14,12,,3,17
8850718819522,เลย์ รสเมี่ยงคำครบรส(48g),320,1,18,270,,
885100419359,ปาร์ตี้ รสชาไทย(48g),240,10,12,260,,
8850718801879,เลย์ รสโนริสาหร่าย(13g),70,0,4.5,50,,
